text,id,cleaned_text,sentiment_score
Googleのサポートがあまりにも酷すぎてPixel使い続けるの躊躇するレベルなんですけど、問い合わせした人みんなこんな扱い？？一ヶ月以上前にバッテリーの膨張のこと問い合わせて、メールも何通か送ってるのに、「今頑張ってます！」みたいな返事がテンプレで返ってきて意味わからない。,1967572107291983910,googlepixel,0.0
"RT @au_official: ／
最新機種「Google Pixel 10 Pro」の
新色Moonstoneを抽選で1台プレゼント🎁
#撮るぞつなぐぞ日本の100空 投稿キャンペーン
＼

【応募方法】
①@au_officialをフォロー
②本投稿をリポスト
締切：9/…",1967571677577191425,rt google pixel pro moonstone,0.0
@brucewayne034 Google Pixel,1967571666357346356,google pixel,0.0
"RT @au_official: ／
最新機種「Google Pixel 10 Pro」の
新色Moonstoneを抽選で1台プレゼント🎁
#撮るぞつなぐぞ日本の100空 投稿キャンペーン
＼

【応募方法】
①@au_officialをフォロー
②本投稿をリポスト
締切：9/…",1967571634342199803,rt google pixel pro moonstone,0.0
"【Yモバイル】Google Pixel 8a【特価】

✨Ymobileで大特価にて取扱い開始
・一括：24,800円～
・他社から乗り換え 
・送料無料、最短お届け

※PayPayポイント還元実施中
※契約内容は公式サイトで確認しよう
9/15PR広告、新品、白ROM、新規、MNP
https://t.co/SnbIcjME8H",1967571603492880487,ygoogle pixel ymobile paypay prrommnp,0.0
"RT @au_official: ／
最新機種「Google Pixel 10 Pro」の
新色Moonstoneを抽選で1台プレゼント🎁
#撮るぞつなぐぞ日本の100空 投稿キャンペーン
＼

【応募方法】
①@au_officialをフォロー
②本投稿をリポスト
締切：9/…",1967571452254916726,rt google pixel pro moonstone,0.0
今日は「Google Pixel Watch 4 45mm 用 カバー」が届きました。 https://t.co/WiATwrqVge #GooglePixelWatch4,1967571444734525471,google pixel watch mm googlepixelwatch,0.0
"RT @au_official: ／
最新機種「Google Pixel 10 Pro」の
新色Moonstoneを抽選で1台プレゼント🎁
#撮るぞつなぐぞ日本の100空 投稿キャンペーン
＼

【応募方法】
①@au_officialをフォロー
②本投稿をリポスト
締切：9/…",1967571383128666226,rt google pixel pro moonstone,0.0
今日は「Google Pixel Watchバンド」が届きました。 https://t.co/MGoBT9BdKp #GooglePixelWatch4,1967571382990221668,google pixel watch googlepixelwatch,0.0
"RT @Arsenal: Doubling up 2️⃣

Shot on Google Pixel 🤳 https://t.co/jVZg32beAu",1967571371032285241,rt doubling shot google pixel,0.0
"RT @au_official: ／
最新機種「Google Pixel 10 Pro」の
新色Moonstoneを抽選で1台プレゼント🎁
#撮るぞつなぐぞ日本の100空 投稿キャンペーン
＼

【応募方法】
①@au_officialをフォロー
②本投稿をリポスト
締切：9/…",1967571314476273720,rt google pixel pro moonstone,0.0
"RT @au_official: ／
最新機種「Google Pixel 10 Pro」の
新色Moonstoneを抽選で1台プレゼント🎁
#撮るぞつなぐぞ日本の100空 投稿キャンペーン
＼

【応募方法】
①@au_officialをフォロー
②本投稿をリポスト
締切：9/…",1967571257756667944,rt google pixel pro moonstone,0.0
"@Samir_Ortonite The Google Pixel 9 Pre-Reserve Pass on Flipkart often restocks before big sales like Big Billion Days, starting around Sept 22-23, 2025. It's priced at ₹2,000 when available. Check the page regularly or use ""Notify Me"" for updates, as stock is limited.",1967571194472960136,google pixel prereserve pass flipkart often restocks big sales like big billion days starting around sept priced available check page regularly use notify updates stock limited,0.1531
今日は「Spigen Google Pixel Buds Pro 2ケース」が届きました。 https://t.co/VlNGHU5iu9 #GooglePixelBudsPro2,1967571088109613565,spigen google pixel buds pro googlepixelbudspro,0.0
"RT @DB_Squadra_jp: 当選確認はこちら: https://t.co/SuWQIxCwBJ

ゲキスクを遊べる関連機器の中からいずれか1つを選ぶ権利(1名様)は、以下の中からお好きなものをお選び頂けます。

iPhone 16・Google Pixel 9・Nin…",1967571028097593827,rt iphone google pixel nin,0.0
"📱 Google Pixel 10 Pro con –35% de descuento

📸 Captura tu mundo con la cámara más avanzada de Google

⚡ Fluidez y potencia para acompañarte en cada reto

🔋 Energía optimizada para tu día a día, sin pausas

https://t.co/zjSROWkydK

#JustDeal #VueltaALaCarga #GooglePixel10Pro https://t.co/J56lwZ3oSk",1967570922644307993,google pixel pro con de descuento captura tu mundo con la cmara ms avanzada de google fluidez potencia para acompaarte en cada reto energa optimizada para tu da da sin pausas justdeal vueltaalacarga googlepixelpro,-0.5574
"Google Pixel 10 Pro - Unlocked Android Smartphone - Gemini AI Assistant, Triple Rear Camera System, Fast-Charging 24+ Hour Battery, and 6.3"" Super Actua Display - Porcelain - 256 GB (2025 Model)

Only ($1,099.⁰⁰)
https://t.co/cINLQJpEMP",1967570859989827699,google pixel pro unlocked android smartphone gemini ai assistant triple rear camera system fastcharging hour battery super actua display porcelain gb model,0.5994
"Google Pixel 10 Pro - Unlocked Android Smartphone - Gemini AI Assistant, Triple Rear Camera System, Fast-Charging 24+ Hour Battery, and 6.3"" Super Actua Display - Porcelain - 256 GB (2025 Model)

Only ($1,099.⁰⁰)
https://t.co/IBVw3W1pxi",1967570815261745586,google pixel pro unlocked android smartphone gemini ai assistant triple rear camera system fastcharging hour battery super actua display porcelain gb model,0.5994
"RT @ArsenalWFC: She scores the goalsssssssss

Stina’s fantastic goal shot on Google Pixel 🤳 https://t.co/uhh520ifkf",1967570586101776829,rt scores goalsssssssss stinas fantastic goal shot google pixel,0.5574
Google Pixel 10 Pro XL 256GB SIMフリー Obsidian スマートフォン本体 https://t.co/X3G7b4d6Xn #Amazonギフト券,1967570463300989434,google pixel pro xl gb sim obsidian amazon,0.1779
"Google is adding a ""High contrast background"" option for Pixel's at a glance widget for better visibility with light color wallpapers

✅ Details and screenshots - https://t.co/wdNd0ayuEz https://t.co/650AwKQz5g",1967570369700864483,google adding high contrast background option pixels glance widget better visibility light color wallpapers details screenshots,0.4404
"【Ymobile】大決算セール【期間限定】

✨特価1円～格安スマホ多数！
・Google Pixel 8a / 9a
・Apple iPhone SE
・iPhone 13 / 15 / 16 / 16e
・Motorola moto g64y 5G
・Motorola moto g66y 5G
・OPPO Reno11 A / Reno13 A
※詳細は公式サイトで確認
9/15PR広告、新規、MNP
https://t.co/4CEbhKQwTJ",1967570344832835684,ymobile google pixel apple iphone se iphone e motorola moto gy g motorola moto gy g oppo reno reno prmnp,0.0
